"","atoll","Anous_stolidus","Anous_minutus","Anous_tenuirostris","Anous_ceruleus","Gygis_alba","Onychoprion_fuscatus","Onychoprion_lunatus","Onychoprion_anaethetus","Sternula_nereis","Sternula_saundersi","Hydroprogne_caspia","Sterna_dougallii","Sterna_sumatrana","Thalasseus_bergii","Thalasseus_bengalensis","Phaethon_lepturus","Phaethon_rubricauda","Phoebastria_immutabilis","Phoebastria_nigripes","Phoebastria_albatrus","Nesofregetta_fuliginosa","Hydrobates_tristrami","Pterodroma_neglecta","Pterodroma_heraldica","Pterodroma_ultima","Pterodroma_hypoleuca","Pterodroma_alba","Bulweria_bulwerii","Ardenna_pacifica","Puffinus_nativitatis","Puffinus_bailloni","Fregata_ariel","Fregata_minor","Sula_dactylatra","Sula_granti","Sula_leucogaster","Sula_sula","PC1","PC2","PC3","PC4","PC5","PC6","region","species","presence"
"1","Abariringa",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,-1.16940852075116,1.27421308729124,1.34771684450667,-1.12026113631121,-0.896349157737448,-0.76710538196408,"Polynesia","Anous_stolidus",1
"2","Abemama",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07564321034832,0.568182359764227,0.40712232522219,-0.481049502460378,-0.249234473655265,-0.546209163585775,"Micronesia","Anous_stolidus",1
"3","Addu",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.812072752497562,0.179216490343649,-0.883763568768386,0.109488261914482,-0.660768429110933,1.76965480695174,"Indian_Ocean","Anous_stolidus",1
"4","Ahe",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.499376060045322,1.08501009455205,-0.846064282710407,0.665408559061078,0.486436955111591,-0.304862642592091,"Polynesia","Anous_stolidus",1
"5","Ahunui",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05330586734735,1.38845037598325,0.141279744442164,0.328787643616744,0.311675289692903,0.744464226175462,"Polynesia","Anous_stolidus",1
"6","Ailinginae",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.241269689760557,0.146779381967124,-0.14549279517682,-0.443088914576717,0.668546278691415,-0.598195585311167,"Micronesia","Anous_stolidus",1
"7","Ailuk",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.178672051594836,0.0939817789276613,-1.02252016920672,-1.02477435878736,-0.578380303831326,0.480301090895975,"Micronesia","Anous_stolidus",1
"8","Aldabra",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-0.773651344519178,0.514635934813526,-0.346649625014992,-1.4333867902917,0.432494046012548,-2.11600740027536,"Indian_Ocean","Anous_stolidus",1
"9","Anaa",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135574973229367,1.05447032783674,-1.04884207142468,-0.135570237742625,-0.281916140703384,-1.35784985779005,"Polynesia","Anous_stolidus",1
"10","Ant",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.631395054871156,-1.35626735305906,-0.627966154443443,2.92835285291875,0.164751809069575,-1.59472083313504,"Micronesia","Anous_stolidus",1
"11","Anuanuraro",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.13997810618746,0.853830080095411,0.545412332967286,0.175478211938535,0.938089102758988,0.473345638696323,"Polynesia","Anous_stolidus",1
"12","Anuanurunga",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.26743095273814,0.794123345820471,0.81039342185838,0.303468118543049,1.13135736616529,0.79595758476331,"Polynesia","Anous_stolidus",1
"13","Apataki",1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.692075955751661,0.91788704187863,-1.19041364617254,0.0586559104826453,0.491937646141034,-1.44278553436485,"Polynesia","Anous_stolidus",1
"14","Aranuka",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.96645423795361,0.576621582751044,0.993613263360906,-0.428184276747445,0.0729719014226107,-0.590724234615023,"Micronesia","Anous_stolidus",1
"15","Aratika",1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.518627799678391,1.03253305518678,-0.591835170621865,0.475524940019391,0.349438437286283,-0.736260269701049,"Polynesia","Anous_stolidus",1
"16","Arno",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.98734584203782,-0.282574456654304,-1.47799758535087,0.177878403935456,-0.273230938712217,0.353445625448807,"Micronesia","Anous_stolidus",1
"17","Arutua",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.67962142667162,0.851295999403204,-1.05437498996219,0.107784700998964,0.450683331174841,-1.35344748206423,"Polynesia","Anous_stolidus",1
