atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,719.8471679792336,108.0548305361033,4633.5033423962495
Addu,Indian_Ocean,Anous_stolidus,1169.9873266433872,159.72912744224982,7405.303754231252
Ahe,Polynesia,Anous_stolidus,428.7159564876775,69.83913824418711,2575.0911941156105
Ailuk,Micronesia,Anous_stolidus,1245.9263986269334,193.00939057393455,7302.343448163901
Anaa,Polynesia,Anous_stolidus,795.0862689931766,137.5158840568897,5033.105345067682
Ant,Micronesia,Anous_stolidus,14.822080494628633,1.708327970438755,124.72550394503706
Anuanuraro,Polynesia,Anous_stolidus,515.74479889693,90.98353177502217,3080.1677246878
Anuanurunga,Polynesia,Anous_stolidus,442.4424042559831,72.16947403844986,2437.8246742831293
Apataki,Polynesia,Anous_stolidus,523.8984589683278,78.85662263972301,3142.906223849407
Aratika,Polynesia,Anous_stolidus,474.8051247410848,77.29294532017649,2691.7572997339726
Arno,Micronesia,Anous_stolidus,420.9102248164203,60.09518051603345,2638.7340764126316
Arutua,Polynesia,Anous_stolidus,492.84302544881695,77.8769801958101,3010.6588493221607
Aur,Micronesia,Anous_stolidus,554.275060450548,90.01673823467303,3380.04723745393
Butaritari,Micronesia,Anous_stolidus,864.9038530386505,139.10921001380103,5899.465289340859
Etal,Micronesia,Anous_stolidus,47.51651126629901,6.7695014056669915,323.0287886836962
Fakahina,Polynesia,Anous_stolidus,1150.5789525170842,192.38854910933324,6692.70409907486
Fakaofo,Polynesia,Anous_stolidus,485.52730170125966,77.45740914357175,2850.6001536358203
Hao,Polynesia,Anous_stolidus,974.0955575095925,133.95703642029216,5994.624279478651
Hereheretui,Polynesia,Anous_stolidus,1242.138115919105,206.243875410784,6693.295222523367
Kapingamarangi,Micronesia,Anous_stolidus,383.60464974814397,61.126035445620865,2467.258788491808
Kauehi,Polynesia,Anous_stolidus,472.3975309687512,77.14495843728437,2860.574480239373
Kaukura,Polynesia,Anous_stolidus,493.22421497566705,85.47320218564799,3269.8839417876607
Lae,Micronesia,Anous_stolidus,438.3590048153483,73.0070622636769,2532.1809113789222
Likiep,Micronesia,Anous_stolidus,1033.577781813306,179.49897570033295,6884.680830253915
Losap,Micronesia,Anous_stolidus,96.10593031601584,15.675474804038947,714.2140876392385
Lukunor,Micronesia,Anous_stolidus,68.53929287233743,9.95743667561954,491.7460392446656
