atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,850.1618389891072,124.35156179441604,5171.701070707308
Addu,Indian_Ocean,Anous_stolidus,983.3516397977965,154.53134967833302,6860.169925443938
Ahe,Polynesia,Anous_stolidus,435.3551621077351,72.97908729035025,2757.123658907573
Ailuk,Micronesia,Anous_stolidus,1436.251373107338,244.46248161160807,9215.985338086815
Anaa,Polynesia,Anous_stolidus,844.7915111849783,140.35167581553281,5238.599907396687
Ant,Micronesia,Anous_stolidus,21.774145920557043,2.860726997828746,188.5975286458492
Anuanuraro,Polynesia,Anous_stolidus,529.2861385625766,95.39751182720269,3346.2511970353808
Anuanurunga,Polynesia,Anous_stolidus,456.6957239183044,80.04026263268932,2871.6269745814807
Apataki,Polynesia,Anous_stolidus,569.1002144316517,85.15534125882205,3338.103130761367
Aratika,Polynesia,Anous_stolidus,488.8844089062835,83.684067874435,3019.2330195520294
Arno,Micronesia,Anous_stolidus,476.43432514992605,73.65265107684664,3156.148408021029
Arutua,Polynesia,Anous_stolidus,527.8235245941314,88.63756385977962,3383.431555702253
Aur,Micronesia,Anous_stolidus,661.8940944779165,115.87188304801951,4392.432960420682
Butaritari,Micronesia,Anous_stolidus,921.5292143107063,142.76253219965008,5956.520281499815
Etal,Micronesia,Anous_stolidus,60.81998129453251,9.168413108644307,420.43097661069174
Fakahina,Polynesia,Anous_stolidus,1051.075882089095,164.5296951608601,6017.51614814565
Fakaofo,Polynesia,Anous_stolidus,432.5101820207201,73.3254376226747,2792.7971378626453
Hao,Polynesia,Anous_stolidus,954.1706842135236,150.0276771272143,6578.214478008777
Hereheretui,Polynesia,Anous_stolidus,1219.2898860328876,187.94954579917072,6397.635868097581
Kapingamarangi,Micronesia,Anous_stolidus,416.9480976224923,64.84609884289007,2625.657014863223
Kauehi,Polynesia,Anous_stolidus,487.16742948389873,83.22314445912396,3163.7351938625175
Kaukura,Polynesia,Anous_stolidus,527.5497695113785,84.31725461558237,3188.5009950221192
Lae,Micronesia,Anous_stolidus,521.6069189502726,86.03429414521015,2983.7033906067013
Likiep,Micronesia,Anous_stolidus,1197.3891232732021,185.88968112475757,7148.524842936662
Losap,Micronesia,Anous_stolidus,116.84405385531727,17.552684871256545,789.3856895599514
Lukunor,Micronesia,Anous_stolidus,82.8997566060401,11.63115226759011,553.2596870895845
Maiana,Micronesia,Anous_stolidus,777.920898168918,116.63043096399709,5243.606524996519
Majuro,Micronesia,Anous_stolidus,452.32848210283055,67.48198705566269,3011.730107159939
Manihi,Polynesia,Anous_stolidus,594.0299691920548,97.53832902104064,3669.5951245971705
Manihiki,Polynesia,Anous_stolidus,590.5108838440872,94.0971217589061,3550.397526314364
Marakei,Micronesia,Anous_stolidus,717.418524100337,104.63503654483274,4481.850367983036
Maria_Est,Polynesia,Anous_stolidus,323.23867574276335,54.53168288155978,2037.3988452737976
Marutea_Sud,Polynesia,Anous_stolidus,832.5287329939576,148.01315205912414,5568.123524955617
Mataiva,Polynesia,Anous_stolidus,490.82876182244576,87.60229267330044,3156.7364088747454
Matureivavao,Polynesia,Anous_stolidus,274.4044655890994,41.182013170629794,1624.0612696994772
Mili,Micronesia,Anous_stolidus,591.7170562137059,95.61753047778238,3972.3283255712863
Mokil,Micronesia,Anous_stolidus,207.46119642866162,31.36245103926361,1275.3677809064804
Moruroa,Polynesia,Anous_stolidus,812.1140250985006,138.6929715470719,5328.342076299481
Motu_One,Polynesia,Anous_stolidus,439.45250249506466,68.81146266980912,2560.721442978732
Namoluk,Micronesia,Anous_stolidus,155.0820179630787,25.13034596296486,1043.3067819469163
Namu,Micronesia,Anous_stolidus,884.7644443139127,141.88473983314185,5633.9079368037255
Napuka,Polynesia,Anous_stolidus,953.2491447860051,167.48559192943316,6024.40175849214
Nengonengo,Polynesia,Anous_stolidus,863.1415252699237,144.3934540269316,5075.4358596136135
Ngcheangel,Micronesia,Anous_stolidus,47.00894667001886,6.06604055611161,352.2856124147533
Niau,Polynesia,Anous_stolidus,422.3076711952447,73.53643542738887,2552.9568803312904
Ninigo,Melanesia,Anous_stolidus,265.06262183509875,37.81542923856292,1739.5169944140384
Niutao,Polynesia,Anous_stolidus,701.8897686816191,105.04438313642964,4111.439258351825
Nonouti,Micronesia,Anous_stolidus,1136.1510531875526,163.64163094282873,6821.2850251846185
Nuguria,Melanesia,Anous_stolidus,268.2783559381873,38.523341426494646,1897.8768616990135
Nukapu,Melanesia,Anous_stolidus,52.849162133758796,7.822036688291969,388.4505641585
Nukulaelae,Polynesia,Anous_stolidus,735.8218088896255,111.53875333082824,4177.358092055244
Nukumanu,Melanesia,Anous_stolidus,425.5357854974182,63.038602583935514,2674.9735132042274
Nukuoro,Micronesia,Anous_stolidus,298.3012381846934,43.24748342847026,1891.4550227093612
Nukutepipi,Polynesia,Anous_stolidus,469.14795943320786,79.81581337474987,2864.098061957589
Onotoa,Micronesia,Anous_stolidus,1160.15670045385,182.89475604225134,7168.0765177572
Ontong_Java,Melanesia,Anous_stolidus,410.6569541975466,60.75659497185517,2840.6710382257506
Oroluk,Micronesia,Anous_stolidus,299.27436907122694,48.2858917592635,2045.1969221896038
Pakin,Micronesia,Anous_stolidus,34.15365996971281,4.451453582944739,261.296159509552
Palmerston,Polynesia,Anous_stolidus,1549.455468097561,241.66650876427997,9558.3394455554
Paraoa,Polynesia,Anous_stolidus,621.3702961251887,105.04846205103708,3598.182616286596
Pinaki,Polynesia,Anous_stolidus,599.6673529604828,99.18900670133557,3649.8114889521576
Pingelap,Micronesia,Anous_stolidus,186.9653796874457,27.601561934054608,1210.972435341957
Pukapuka,Polynesia,Anous_stolidus,501.1320511379237,81.44282300145055,3047.2759933814973
Pukarua,Polynesia,Anous_stolidus,773.8248065787867,134.51395313109185,5079.205022668772
Qelelevu,Melanesia,Anous_stolidus,219.5663486304655,33.64211550616908,1535.0970189268191
Rakahanga,Polynesia,Anous_stolidus,450.2650485345825,70.02893881138701,2489.1839131351576
Rangiroa,Polynesia,Anous_stolidus,349.6180412057726,56.703091849331635,2631.8645519058114
Raroia,Polynesia,Anous_stolidus,700.8739154332187,99.70959553539556,4044.439165276772
Reao,Polynesia,Anous_stolidus,787.3046312462956,120.93476184943033,4968.559791801559
Rongelap,Micronesia,Anous_stolidus,788.5215490101667,136.95459955170526,5293.199653934255
Sapwuahfik,Micronesia,Anous_stolidus,146.8566515243344,21.84375120902717,960.266540930422
Satawan,Micronesia,Anous_stolidus,107.58141442447146,15.615572595110061,768.2964657877499
St_Joseph,Indian_Ocean,Anous_stolidus,533.7848692584473,82.99096168596247,3111.8683040264677
Tabiteuea,Micronesia,Anous_stolidus,1552.4052237839942,250.15377685905906,10636.063746050151
Taiaro,Polynesia,Anous_stolidus,417.30072672326503,71.56843428178898,2503.4716859484784
Takapoto,Polynesia,Anous_stolidus,386.52035270130756,63.07561866197168,2352.0924217406273
Takaroa,Polynesia,Anous_stolidus,602.4322547258009,106.34170625792608,4093.0750321756364
Tarawa,Micronesia,Anous_stolidus,428.2222655438996,60.11869022946664,3308.69998084066
Tatakoto,Polynesia,Anous_stolidus,1523.5242765021271,251.75299989034738,9708.918815314191
Temitangi,Polynesia,Anous_stolidus,1793.4618690124967,292.3173242738488,10686.255810390896
Teraina,Polynesia,Anous_stolidus,2053.1817043511915,304.93923853636875,11971.267681242123
Tikehau,Polynesia,Anous_stolidus,316.26202629305743,48.384123541293846,2060.6490431271304
Tongareva,Polynesia,Anous_stolidus,1670.6056934028793,282.0425684665332,10110.096455589903
Tupai,Polynesia,Anous_stolidus,145.6144547717597,21.688332745380517,1061.0915672772273
Tureia,Polynesia,Anous_stolidus,826.9018613073744,142.5302257865943,5397.257232698235
Ujae,Micronesia,Anous_stolidus,661.7425544073568,110.14490799945858,3871.888607119518
Ujelang,Micronesia,Anous_stolidus,742.7411071389943,119.2531587292696,4397.72763195399
Ulithi,Micronesia,Anous_stolidus,347.7608454643346,47.62996676611813,2325.1234342572275
Vairaatea,Polynesia,Anous_stolidus,974.7306564461392,151.6630746890466,5193.775101522453
Vaitupu,Polynesia,Anous_stolidus,412.26219640218414,70.43746352345858,2709.46484645903
Vanavana,Polynesia,Anous_stolidus,574.466165199493,93.04079591786245,3317.9507636050384
Wailagilala,Melanesia,Anous_stolidus,360.1576834154895,52.6806914973059,2315.4226018984778
Wotho,Micronesia,Anous_stolidus,831.1505942474976,142.54319021691725,4963.708078029144
Wotje,Micronesia,Anous_stolidus,865.5631188241391,122.76112025346555,5120.7747279019995
Abemama,Micronesia,Anous_minutus,2842.2699692676915,429.11390044303033,19133.82250625228
Ahe,Polynesia,Anous_minutus,592.5198507477786,98.50910002071116,3722.274590647642
Ailuk,Micronesia,Anous_minutus,1874.780362319369,311.31279761050394,11637.269176540953
Anuanuraro,Polynesia,Anous_minutus,251.70112218299772,44.46280835069602,1567.892492569068
Anuanurunga,Polynesia,Anous_minutus,203.51178066225287,34.16520653632523,1247.6386629448566
Apataki,Polynesia,Anous_minutus,1153.8915024213989,188.16089201195055,7524.266842728821
Aranuka,Micronesia,Anous_minutus,2272.735942124435,345.28726975819217,14622.637520292874
Aratika,Polynesia,Anous_minutus,691.7477742157488,119.21892551888568,4364.6520375456475
Arno,Micronesia,Anous_minutus,2168.5396023294325,304.743158096482,13107.875396840729
Arutua,Polynesia,Anous_minutus,1132.523772023578,185.4627810124289,7273.941941701269
Aur,Micronesia,Anous_minutus,2146.2391787553233,361.24340700725907,13572.732391230862
Beautemps-Beaupre,Melanesia,Anous_minutus,3069.8851918680834,439.7571788102723,21562.586726793346
Egum,Melanesia,Anous_minutus,3104.259166844379,485.8094249008465,21598.467996399984
Etal,Micronesia,Anous_minutus,445.78426689000094,72.2886654829618,3101.7310917410846
Fakahina,Polynesia,Anous_minutus,283.31661634568337,46.99699428966175,1735.1732682492825
Fakaofo,Polynesia,Anous_minutus,551.7495731426329,93.70337926123614,3565.4852092908905
Fangatau,Polynesia,Anous_minutus,328.69576226029915,54.469784968265145,1997.491427979534
Hao,Polynesia,Anous_minutus,404.08073062130546,61.73365587198737,2779.2487149428425
Hereheretui,Polynesia,Anous_minutus,612.1957363547963,110.20288671174528,3747.393892526881
Kapingamarangi,Micronesia,Anous_minutus,1460.3252997096195,226.0185639442607,8777.630937086326
Kauehi,Polynesia,Anous_minutus,650.5942302364248,105.76432479577834,3914.087941812252
Kaukura,Polynesia,Anous_minutus,1014.4123346072064,160.6033442057546,6044.938411466101
Lae,Micronesia,Anous_minutus,1339.1106285802598,237.19703288395948,8405.71440331992
Losap,Micronesia,Anous_minutus,983.3735989363073,151.0686192185517,6159.601100382709
Lukunor,Micronesia,Anous_minutus,594.3220706403065,95.63659888908933,4240.65391565112
Maiana,Micronesia,Anous_minutus,4118.561553642883,591.2216392360876,28996.4346616221
Majuro,Micronesia,Anous_minutus,2081.5883154402595,323.6373504005545,14379.241576064247
Manihi,Polynesia,Anous_minutus,822.3899600368376,143.99465187360607,5222.247937406656
Manihiki,Polynesia,Anous_minutus,380.0606695384477,61.91642234623933,2439.846067988332
Marakei,Micronesia,Anous_minutus,2842.72715958416,411.92465034368513,19065.372552451056
Maria_Est,Polynesia,Anous_minutus,148.23307817085822,22.942749614500592,878.0700413615209
Marutea_Sud,Polynesia,Anous_minutus,440.25855600149663,68.6221975144434,2707.8073949918635
Mataiva,Polynesia,Anous_minutus,872.7399596029971,141.68795108449203,5167.347976556722
Matureivavao,Polynesia,Anous_minutus,166.82024554071992,27.447968545438982,1047.7636017735422
Mili,Micronesia,Anous_minutus,2363.459160920244,379.7339327072022,15928.575754964546
Mokil,Micronesia,Anous_minutus,930.5559315476203,157.40611849559556,6112.875761587682
Moruroa,Polynesia,Anous_minutus,352.15318060429297,57.99674834566995,2240.5292155300276
Namoluk,Micronesia,Anous_minutus,952.6264763669353,148.16552114431408,6029.715145196433
