atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,664.2556766362408,97.43440574358618,4549.020358127995
Addu,Indian_Ocean,Anous_stolidus,1295.038339470997,170.7672264206066,8994.565181860464
Ahe,Polynesia,Anous_stolidus,432.48255212358964,72.58337088954939,2906.760501054117
Ailuk,Micronesia,Anous_stolidus,1169.1365486868215,180.78470160115384,7535.874846531695
Anaa,Polynesia,Anous_stolidus,767.0536519771463,116.27471463793464,4613.581470848395
Ant,Micronesia,Anous_stolidus,11.409016191147845,1.2113837539002943,102.59256616311876
Anuanuraro,Polynesia,Anous_stolidus,516.3135703272296,79.53658170896063,2934.510325299054
Anuanurunga,Polynesia,Anous_stolidus,445.30724980993614,75.08738963097343,2788.3781443351136
Apataki,Polynesia,Anous_stolidus,505.52868642617904,77.91126989214526,3414.530024256708
Aratika,Polynesia,Anous_stolidus,471.1522429566165,70.79305808738205,2695.934230251263
Arno,Micronesia,Anous_stolidus,392.939727163189,55.08933935031892,2711.245285095117
Arutua,Polynesia,Anous_stolidus,477.60335639472356,72.61189768586904,3057.4468267276966
Aur,Micronesia,Anous_stolidus,515.381910454777,84.3259272132936,3527.412548187356
Butaritari,Micronesia,Anous_stolidus,844.1572505007273,124.70501623675993,5983.126615829281
Etal,Micronesia,Anous_stolidus,40.4692259663711,5.384751525788527,284.7098439791781
Fakahina,Polynesia,Anous_stolidus,1238.898532580398,188.2547320049862,7304.671788456467
Fakaofo,Polynesia,Anous_stolidus,527.9638789110983,86.68397153477754,3532.39049989356
Hao,Polynesia,Anous_stolidus,1046.1440743747148,141.5263694007185,6762.947593792549
Hereheretui,Polynesia,Anous_stolidus,1268.9027509832802,223.84787155510742,7798.940990216255
Kapingamarangi,Micronesia,Anous_stolidus,359.64650639395035,53.89426873845475,2432.1508055258637
Kauehi,Polynesia,Anous_stolidus,471.84960883077105,75.84123612734199,3090.331958705561
Kaukura,Polynesia,Anous_stolidus,477.84691051044024,74.66061919762238,3094.721593522032
Lae,Micronesia,Anous_stolidus,389.5500926161702,65.71736388760246,2489.2440475681865
Likiep,Micronesia,Anous_stolidus,966.5675393085529,143.91850515516265,6129.232861298333
Losap,Micronesia,Anous_stolidus,82.53087134327976,12.101813020585315,619.8047002144308
Lukunor,Micronesia,Anous_stolidus,61.258717260763916,8.719493783384497,483.1279495254623
Maiana,Micronesia,Anous_stolidus,565.4360481816574,88.66918024468622,4389.5906859536835
Majuro,Micronesia,Anous_stolidus,400.4323308059335,58.708020539797175,3002.833832592233
Manihi,Polynesia,Anous_stolidus,572.879334247714,92.07032555448241,3739.3811653815505
Manihiki,Polynesia,Anous_stolidus,729.8156451941475,115.59403529798918,4622.694098737731
Marakei,Micronesia,Anous_stolidus,546.0047425400654,82.71090750463839,4048.1065670315948
Maria_Est,Polynesia,Anous_stolidus,295.0331384602504,46.295842180431485,1817.4322319988692
Marutea_Sud,Polynesia,Anous_stolidus,781.3141922588879,119.14389619825202,4679.687933437159
Mataiva,Polynesia,Anous_stolidus,436.5418460518054,71.94338146752446,2746.182310840948
Matureivavao,Polynesia,Anous_stolidus,234.8464681531488,37.2852187038516,1541.435892125953
Mili,Micronesia,Anous_stolidus,520.7527513352519,76.29499075366584,3474.213057573151
Mokil,Micronesia,Anous_stolidus,152.4115417077389,23.452509119378895,1077.1591588556128
Moruroa,Polynesia,Anous_stolidus,729.8575779952546,124.46430252432567,4835.543230919482
Motu_One,Polynesia,Anous_stolidus,385.99606552146366,59.67722210696053,2422.2029513247003
Namoluk,Micronesia,Anous_stolidus,116.35890218217376,17.445648159916935,805.395751720126
Namu,Micronesia,Anous_stolidus,670.3383018714918,107.59351075002569,4535.68338001035
Napuka,Polynesia,Anous_stolidus,1085.5951980918742,168.03162680855036,6363.0827157114345
Nengonengo,Polynesia,Anous_stolidus,918.6617886130654,155.04753826444727,5636.011519765633
Ngcheangel,Micronesia,Anous_stolidus,26.807848888255958,2.8472646393191754,240.38527365802676
Niau,Polynesia,Anous_stolidus,383.03555385945623,61.538437305640144,2227.017404027951
Ninigo,Melanesia,Anous_stolidus,440.98000983007876,58.02457158893242,3661.6400882276685
Niutao,Polynesia,Anous_stolidus,921.6864059391893,151.6498187015016,6155.56695575811
Nonouti,Micronesia,Anous_stolidus,941.9085188194127,149.355067634857,7070.423362071574
Nuguria,Melanesia,Anous_stolidus,465.5169470907261,54.30856278726681,3850.258309845653
Nukapu,Melanesia,Anous_stolidus,72.56618068298992,9.198211686796322,563.0740531567222
Nukulaelae,Polynesia,Anous_stolidus,862.8675540136031,134.0724359349829,5470.30891652886
Nukumanu,Melanesia,Anous_stolidus,732.3945196169976,97.23638140270928,6112.796954172242
Nukuoro,Micronesia,Anous_stolidus,279.41910875645215,40.67968939621518,1996.1811141464962
Nukutepipi,Polynesia,Anous_stolidus,457.9040189329814,72.2706725975893,2691.7853524140814
Onotoa,Micronesia,Anous_stolidus,956.4783572542117,144.34633098954492,6458.461665632473
Ontong_Java,Melanesia,Anous_stolidus,692.123496510511,86.16167020389867,5711.3243420725385
Oroluk,Micronesia,Anous_stolidus,217.00240201645965,31.460906613495478,1527.6275677051888
Pakin,Micronesia,Anous_stolidus,20.512346463727038,2.5082796096009137,177.6786625214791
Palmerston,Polynesia,Anous_stolidus,1794.9172979359257,289.9787516482372,12220.685331229522
Paraoa,Polynesia,Anous_stolidus,631.8811302662205,113.1856608786586,3990.5985937199735
Pinaki,Polynesia,Anous_stolidus,579.3007237586824,86.37556119582663,3349.7973686056644
Pingelap,Micronesia,Anous_stolidus,153.04687913118045,22.01719199207056,1076.645664079721
Pukapuka,Polynesia,Anous_stolidus,626.8154353302502,97.02935852852416,3807.7482906740547
Pukarua,Polynesia,Anous_stolidus,854.3019670174036,138.5992786338482,5702.690638569259
Qelelevu,Melanesia,Anous_stolidus,246.2083092167327,34.34742134418632,1816.829316852127
Rakahanga,Polynesia,Anous_stolidus,546.32631325663,90.30571407809182,3403.0375208565597
Rangiroa,Polynesia,Anous_stolidus,316.3928371046982,42.704509799309555,2364.677977024261
Raroia,Polynesia,Anous_stolidus,743.3040327671679,114.69414310367533,5035.794436727759
Reao,Polynesia,Anous_stolidus,871.8940647785827,135.55943813292456,6157.909089683151
Rongelap,Micronesia,Anous_stolidus,515.9031206313678,88.69910401684868,3596.5735005048655
Sapwuahfik,Micronesia,Anous_stolidus,116.5989090022001,16.300944311176014,778.5327946409529
Satawan,Micronesia,Anous_stolidus,79.71671708567848,10.569881806481936,628.21848825629
St_Joseph,Indian_Ocean,Anous_stolidus,492.50985302175974,77.38717671155335,3415.942196335873
Tabiteuea,Micronesia,Anous_stolidus,1272.054290897286,200.913833040284,9636.259920856703
Taiaro,Polynesia,Anous_stolidus,379.20491617788025,58.86673915180908,2148.820471934241
Takapoto,Polynesia,Anous_stolidus,359.67391860255674,57.705406719224314,2343.599603654578
Takaroa,Polynesia,Anous_stolidus,597.3710712057537,96.22680057700309,3835.690191503233
Tarawa,Micronesia,Anous_stolidus,295.61438095830823,38.02798442530906,2360.742813072199
Tatakoto,Polynesia,Anous_stolidus,1765.15844754197,272.4610361228249,11454.24935665842
Temitangi,Polynesia,Anous_stolidus,1922.387329351926,315.42106115023586,11941.207556034531
Teraina,Polynesia,Anous_stolidus,2962.715747106127,422.1104205151308,18212.403142153817
Tikehau,Polynesia,Anous_stolidus,267.9102072287016,37.633627390685206,1846.8131312056814
Tongareva,Polynesia,Anous_stolidus,2089.321093943646,372.04622721169045,14290.08672460755
Tupai,Polynesia,Anous_stolidus,108.48423878419378,13.892212908094965,824.6463253928415
Tureia,Polynesia,Anous_stolidus,888.1067439094695,154.86925096709567,6104.997354360599
Ujae,Micronesia,Anous_stolidus,483.0142582207325,79.31086859160575,3096.8053680490416
